BC Sale Price,Wall Material,Roof Material,Basement,Central Air Conditioning,Age,Bedrooms,Building Square Feet,Full Baths,Garage Size,Half Baths,Land Acre,Tract Median Income
1.91659423437717,Masonry,Tar + Gravel,Slab,Central A/C,23,3,1.826,1,1.0,1,0.015679522,36.927
1.9244071053981546,Masonry,Tar + Gravel,Full,Central A/C,33,3,1.644,3,1.0,0,0.030371901,132.222
1.9523944441074221,Masonry,Tar + Gravel,Full,Central A/C,32,6,3.795,3,2.0,1,0.071740129,119.432
1.8987260632916334,Masonry,Tar + Gravel,Crawl,Central A/C,48,2,1.092,1,0.0,0,0.017883379,112.788
1.9230199641080499,Masonry,Tar + Gravel,Slab,Central A/C,47,4,1.568,2,0.0,0,0.024196511,142.583
1.947477426856111,Masonry,Tar + Gravel,Full,Central A/C,6,3,1.861,2,2.0,1,0.03459596,148.616
1.9518456587656923,Masonry,Tar + Gravel,Full,Central A/C,15,5,6.239,5,2.0,0,0.05617539,128.243
1.9057190958417936,Masonry,Tar + Gravel,Full,Central A/C,47,1,1.064,1,0.0,1,0.017102847,162.054
1.9349399951367645,Masonry,Tar + Gravel,Partial,No Central A/C,51,3,1.518,2,0.0,0,0.028168044,112.788
1.9422649730810375,Masonry,Tar + Gravel,Slab,Central A/C,17,3,2.953,3,2.0,1,0.034802571,158.375
1.9503325893513392,Frame,Shingle + Asphalt,Full,Central A/C,3,4,2.102,3,2.0,0,0.040289256,148.616
1.9222090158415586,Masonry,Tar + Gravel,Slab,Central A/C,27,2,1.496,2,2.0,0,0.014003673,148.616
1.9568668907186246,Masonry,Tar + Gravel,Full,Central A/C,18,5,4.905,3,2.5,3,0.067998163,138.934
1.9096492097094748,Masonry,Tar + Gravel,Full,Central A/C,48,3,1.254,2,0.0,1,0.029958678,112.788
1.9465477516175151,Frame + Masonry,Shingle + Asphalt,Full,Central A/C,21,4,2.202,2,2.0,1,0.062557392,94.598
1.9480124755089965,Masonry,Tar + Gravel,Full,Central A/C,3,4,4.552,3,2.0,1,0.065564738,142.583
1.958297117188585,Masonry,Tar + Gravel,Full,Central A/C,17,4,3.569,3,2.5,1,0.068319559,132.222
1.8947659887645218,Masonry,Tar + Gravel,Crawl,Central A/C,48,2,1.092,1,0.0,0,0.014370983,109.191
1.9367544467966324,Masonry,Tar + Gravel,Slab,Central A/C,24,3,2.799,3,2.0,1,0.028902663,121.318
1.9323876596217187,Masonry,Shingle + Asphalt,Slab,Central A/C,21,3,2.113,2,2.0,2,0.027203857,122.479
1.963485162832989,Masonry,Shingle + Asphalt,Full,Central A/C,17,4,4.131,3,2.0,1,0.068870523,109.191
1.9583152370603123,Masonry,Tar + Gravel,Full,Central A/C,34,5,4.082,3,2.0,2,0.068870523,141.806
1.9085221292507304,Masonry,Tar + Gravel,Slab,Central A/C,48,2,1.386,1,0.0,1,0.015886134,142.583
1.9259766789802395,Masonry,Shingle + Asphalt,Slab,Central A/C,42,4,2.624,2,1.0,1,0.024334252,83.806
1.9314005659429965,Masonry,Shingle + Asphalt,Slab,Central A/C,33,3,2.532,3,1.5,1,0.029315886,83.806
1.967075742569562,Masonry,Tar + Gravel,Full,Central A/C,3,6,3.382,5,2.5,1,0.068870523,148.616
1.9077468791971115,Masonry,Shingle + Asphalt,Full,Central A/C,50,3,0.826,1,0.0,1,0.020890725,142.583
1.937377570891485,Masonry,Shingle + Asphalt,Slab,Central A/C,42,4,2.624,2,1.0,1,0.024747475,83.806
1.9566139084362688,Masonry,Tar + Gravel,Full,Central A/C,15,4,3.684,4,2.0,0,0.071740129,132.222
1.948658843675038,Masonry,Shingle + Asphalt,Slab,Central A/C,33,4,3.486,3,1.5,1,0.030371901,83.806
1.9488690007435086,Masonry,Tar + Gravel,Slab,Central A/C,24,3,2.799,3,2.0,1,0.029178145,121.318
1.96594973876965,Masonry,Tar + Gravel,Full,Central A/C,3,6,3.96,5,2.5,2,0.071740129,148.616
1.935111431547695,Masonry,Shingle + Asphalt,Full,Central A/C,28,4,3.655,2,2.0,1,0.058539945,122.479
1.9323489908508262,Masonry,Shingle + Asphalt,Slab,Central A/C,21,3,2.113,2,2.0,2,0.027433425,122.479
1.957359856728878,Masonry,Tar + Gravel,Full,Central A/C,21,5,3.887,3,2.0,1,0.071740129,119.432
1.9257218647291792,Masonry,Tar + Gravel,Full,Central A/C,48,3,1.254,2,0.0,1,0.027387511,112.788
1.9171542518764233,Masonry,Tar + Gravel,Slab,Central A/C,18,2,1.366,1,0.0,1,0.025413223,142.583
1.9196780671097502,Frame + Masonry,Shingle + Asphalt,Slab,Central A/C,56,3,1.422,1,0.0,1,0.029292929,93.529
1.958521932210783,Masonry,Tar + Gravel,Full,Central A/C,15,5,3.854,4,2.0,1,0.073461892,132.222
1.901227040335041,Masonry,Tar + Gravel,Slab,No Central A/C,50,2,1.386,1,0.0,1,0.015886134,142.583
1.958297117188585,Masonry,Other,Full,Central A/C,18,6,4.4,4,2.0,2,0.065564738,142.583
1.9184182983551996,Frame + Masonry,Tar + Gravel,Full,Central A/C,45,3,1.346,2,0.0,0,0.020890725,109.191
1.9328465722126926,Masonry,Shingle + Asphalt,Full,Central A/C,21,2,1.44,2,1.0,0,0.036019284,122.479
1.96,Masonry,Shingle + Asphalt,Full,Central A/C,17,3,4.2,3,2.0,1,0.067768595,142.583
1.9424618244664156,Masonry,Tar + Gravel,Full,Central A/C,31,4,4.161,3,2.0,1,0.072566575,132.222
1.9646446609406727,Masonry,Tar + Gravel,Full,Central A/C,6,4,3.968,5,2.0,1,0.071786042,119.432
1.9347671926946557,Masonry,Shingle + Asphalt,Full,Central A/C,21,2,1.57,2,1.0,0,0.030257117,122.479
1.9375304952445576,Masonry,Tar + Gravel,Slab,Central A/C,33,4,2.4,3,2.5,1,0.036157025,122.479
1.9617745213946003,Masonry,Shingle + Asphalt,Partial,Central A/C,9,4,4.217,4,2.0,2,0.058539945,122.479
1.964078939594645,Masonry,Tar + Gravel,Full,Central A/C,18,5,3.487,4,2.5,1,0.071166208,138.934
1.9196780671097502,Masonry,Tar + Gravel,Slab,Central A/C,27,2,1.496,2,2.0,0,0.014003673,148.616
1.9048697011691011,Frame + Masonry,Shingle + Asphalt,Partial,Central A/C,49,2,0.915,1,0.0,1,0.015886134,142.583
1.9587431501496482,Masonry,Shingle + Asphalt,Full,Central A/C,21,6,4.584,3,2.0,1,0.075757576,141.806
1.9105572809000084,Frame + Masonry,Tar + Gravel,Slab,Central A/C,33,1,1.28,2,1.0,0,0.018342516,148.616
1.9693214004461053,Masonry,Tar + Gravel,Full,Central A/C,9,5,4.637,5,3.0,1,0.106749311,138.934
1.9586329848003985,Masonry,Tar + Gravel,Full,Central A/C,15,4,3.729,4,2.0,0,0.071740129,132.222
1.9528595479208968,Masonry,Tar + Gravel,Full,Central A/C,12,4,3.062,3,2.0,1,0.068870523,148.616
1.9096492097094748,Masonry,Shingle + Asphalt,Slab,Central A/C,21,2,1.422,2,1.0,0,0.026790634,99.44
1.931440882980894,Masonry,Tar + Gravel,Full,Central A/C,33,3,1.644,3,1.0,0,0.040266299,132.222
1.9417777490260417,Masonry,Shingle + Asphalt,Full,Central A/C,33,4,3.59,3,2.0,1,0.067217631,36.927
1.9613305404381736,Masonry,Tar + Gravel,Full,Central A/C,15,5,3.855,4,3.0,2,0.068319559,132.222
1.9707220640396244,Masonry,Tar + Gravel,Full,Central A/C,3,7,4.41,7,2.0,2,0.078627181,112.788
1.9283885125960567,Masonry,Shingle + Asphalt,Slab,Central A/C,26,3,1.869,3,2.0,0,0.024517906,122.479
1.9587431501496482,Masonry,Other,Full,Central A/C,17,5,3.876,4,2.0,1,0.068870523,141.806
1.9151047280043982,Masonry,Tar + Gravel,Full,Central A/C,52,2,1.072,1,0.0,1,0.0293618,112.788
1.9215535459447264,Masonry,Tar + Gravel,Slab,Central A/C,17,3,2.067,2,2.0,1,0.02056933,122.479
1.8950272237837045,Masonry,Tar + Gravel,Crawl,Central A/C,48,2,0.864,1,0.0,0,0.016483012,109.191
1.9352815198309425,Frame + Masonry,Shingle + Asphalt,Full,Central A/C,24,3,2.126,2,2.0,1,0.084297521,122.479
1.9259766789802395,Masonry,Tar + Gravel,Full,Central A/C,43,2,1.166,1,1.0,1,0.029935721,141.806
1.925464400750007,Masonry,Tar + Gravel,Slab,Central A/C,15,3,1.692,2,2.0,1,0.021579431,99.44
